X,Y,Z,Ω,θ,KHz
99,-9,0,283.786,-0.7099,108
94,-32,0,282.505,-0.707,109
84,-53,0,281.363,-0.7039,110
69,-72,0,280.322,-0.703,111
50,-86,0,279.379,-0.7008,112
28,-95,0,278.176,-0.6978,113
5,-99,0,277.408,-0.6963,114
-18,-98,0,276.455,-0.6935,115
-41,-91,0,275.361,-0.6921,116
-61,-78,0,274.299,-0.6899,117
-78,-62,0,273.392,-0.6872,118
-90,-41,0,272.424,-0.6851,119
-98,-19,0,271.614,-0.6832,120
-99,4,0,270.856,-0.6802,121
-96,27,0,269.934,-0.6784,122
-86,49,0,268.99,-0.676,123
-72,69,0,268.187,-0.6737,124
-53,84,0,267.481,-0.6717,125
-32,94,0,266.669,-0.6693,126
-9,99,0,265.75,-0.6622,127
14,98,0,0.0,-0.0022,3
35,93,0,0.0,-0.0022,4
58,81,0,0.0,-0.0022,5
76,64,0,0.0,-0.0022,6
90,43,0,0.0,-0.0022,7
97,20,0,0.0,-0.0022,8
99,-4,0,0.0,-0.0022,9
95,-29,0,0.0,-0.0022,10
85,-51,0,0.0,-0.0022,11
70,-70,0,0.0,-0.0022,12
51,-85,0,0.0,-0.0022,13
28,-95,0,0.0,-0.0022,14
4,-99,0,976.841,-1.173,15
-19,-98,0,913.987,-1.1711,16
-41,-90,0,876.468,-1.1576,17
-61,-78,0,842.756,-1.1394,18
-78,-61,0,802.552,-1.1318,19
-91,-41,0,773.694,-1.1277,20
-98,-18,0,749.117,-1.1095,21
-99,4,0,722.585,-1.1014,22
-95,28,0,694.505,-1.1038,23
-86,50,0,677.191,-1.0826,24
-72,69,0,655.139,-1.0768,25
-53,84,0,635.917,-1.0681,26
-32,94,0,619.86,-1.0618,27
-9,99,0,601.794,-1.0545,28
14,98,0,590.787,-1.0414,29
37,92,0,573.758,-1.0331,30
58,81,0,561.643,-1.0281,31
75,65,0,549.568,-1.0199,32
89,45,0,539.332,-1.0098,33
97,22,0,528.482,-1.0038,34
99,0,0,518.073,-0.9968,35
96,-24,0,509.292,-0.9887,36
88,-46,0,499.459,-0.9827,37
74,-66,0,491.373,-0.9751,38
57,-82,0,483.417,-0.9688,39
36,-93,0,475.809,-0.9628,40
13,-99,0,468.664,-0.9558,41
-10,-99,0,461.384,-0.9499,42
-33,-94,0,454.026,-0.9443,43
-54,-83,0,449.203,-0.9371,44
-72,-68,0,442.253,-0.9317,45
-86,-49,0,436.733,-0.9282,46
-96,-27,0,431.909,-0.9186,47
-99,-4,0,425.164,-0.9165,48
-98,18,0,420.41,-0.9095,49
-90,41,0,415.151,-0.9072,50
-78,61,0,409.896,-0.9005,51
-61,78,0,406.519,-0.8933,52
-41,91,0,401.696,-0.8901,53
-18,98,0,398.124,-0.8811,54
5,99,0,394.601,-0.882,55
28,95,0,389.828,-0.8754,56
50,86,0,385.985,-0.8698,57
70,71,0,382.338,-0.8647,58
85,52,0,379.169,-0.8611,59
95,30,0,375.585,-0.8567,60
99,6,0,371.925,-0.8518,61
98,-17,0,369.935,-0.8492,62
91,-39,0,365.484,-0.843,63
