Z,θ,R,X,f,Re,Ri,Cm
763.3894,-0.3744,710.5072924555977,279.1823121184,18,998,668,4.87
750.2104,-0.3829,695.8839609153547,280.2876329931757,19,998,668,4.87
737.4753,-0.392,681.5354634391122,281.7431990038526,20,998,668,4.87
724.7138,-0.3983,667.9844168584361,281.0816798454409,21,998,668,4.87
712.2865,-0.4044,654.8325043154136,280.2613947268762,22,998,668,4.87
700.8512,-0.4102,642.7093431959032,279.494373306746,23,998,668,4.87
689.4115,-0.4148,630.9472953234184,277.8375907905788,24,998,668,4.87
678.3309,-0.4187,619.7354946574344,275.79109223561795,25,998,668,4.87
667.7311,-0.422,609.1521148085297,273.49318626156975,26,998,668,4.87
658.2621,-0.4245,599.8379021390568,271.1152586149022,27,998,668,4.87
648.9221,-0.4264,590.8179988284393,268.39147551434695,28,998,668,4.87
639.2671,-0.4283,581.52409496829,265.50358211090344,29,998,668,4.87
630.4502,-0.4291,573.2939412081101,262.3004225198883,30,998,668,4.87
621.9706,-0.4295,565.479542722146,258.9986757246312,31,998,668,4.87
614.0367,-0.43,558.1383293433925,255.97397184998457,32,998,668,4.87
606.3931,-0.4303,551.1146976632848,252.9529239742371,33,998,668,4.87
599.0066,-0.4293,544.6511456715979,249.32716731671258,34,998,668,4.87
591.6404,-0.4288,538.0764375807017,245.99209384169473,35,998,668,4.87
585.4377,-0.4282,532.5812489508781,243.09363185244612,36,998,668,4.87
578.6122,-0.4264,526.8036057050927,239.31159396266892,37,998,668,4.87
572.4385,-0.4249,521.537245955482,235.9761372754055,38,998,668,4.87
566.3423,-0.4235,516.3094628740928,232.74049779949303,39,998,668,4.87
560.9237,-0.4214,511.85251350111986,229.43932017916188,40,998,668,4.87
555.2716,-0.4192,507.19332880560313,226.012116891222,41,998,668,4.87
550.0404,-0.4172,502.8618336048765,222.8775850903394,42,998,668,4.87
545.2689,-0.4147,499.0504010718148,219.69722460074647,43,998,668,4.87
540.3145,-0.4128,494.92868879768685,216.76104796584747,44,998,668,4.87
536.0526,-0.4101,491.60363157022607,213.7247280820014,45,998,668,4.87
531.4589,-0.4077,487.89797631984317,210.7228679859206,46,998,668,4.87
527.4207,-0.4048,484.7951827195829,207.71669552632565,47,998,668,4.87
522.7398,-0.4018,481.10804396158153,204.4307915640423,48,998,668,4.87
519.1834,-0.3997,478.2602108156015,202.03607001269958,49,998,668,4.87
515.482,-0.3967,475.4502127586614,199.17024755656547,50,998,668,4.87
511.8812,-0.3936,472.7398923652042,196.31443421199353,51,998,668,4.87
508.4168,-0.3911,470.02639645663675,193.8113236016631,52,998,668,4.87
504.8283,-0.3885,467.20763775613113,191.22927522538424,53,998,668,4.87
501.8233,-0.3853,465.03248769312216,188.6038435791705,54,998,668,4.87
498.9701,-0.3823,462.9489809121596,186.14349778169233,55,998,668,4.87
495.9844,-0.3794,460.71347162232433,183.69437146811472,56,998,668,4.87
493.3292,-0.3766,458.7568845617499,181.42717668485398,57,998,668,4.87
490.3905,-0.3734,456.59890027129137,178.88623972038016,58,998,668,4.87
487.8583,-0.3704,454.7730306493071,176.59901322752168,59,998,668,4.87
485.3146,-0.3673,452.9442655379707,174.27493591858885,60,998,668,4.87
483.1086,-0.3645,451.3693887059682,172.21961076822984,61,998,668,4.87
480.5511,-0.3615,449.49181358027363,169.96019897472038,62,998,668,4.87
478.1869,-0.3589,447.7186282551442,167.96053478404366,63,998,668,4.87
476.0346,-0.3559,446.2030719575793,165.8666903654237,64,998,668,4.87
474.4,-0.3527,445.19758021378834,163.8733491809681,65,998,668,4.87
472.1699,-0.35,443.5435198878756,161.9060234564597,66,998,668,4.87
470.409,-0.3473,442.32328324257463,160.10852688882343,67,998,668,4.87
468.4265,-0.3446,440.8880133470549,158.24394329369179,68,998,668,4.87
