Z,θ,R,X,f,Re,Ri,Cm
+9.530000759E+02,-1.715181893E-01,939.0164964501289,162.65658320501754,6,998,668,4.87
+9.412707067E+02,-1.966703333E-01,923.1254984880568,183.92894642414012,7,998,668,4.87
+9.284414225E+02,-2.204930710E-01,905.9636031315906,203.0601507303915,8,998,668,4.87
+9.147591520E+02,-2.429147154E-01,887.9027511349424,220.02956777387826,9,998,668,4.87
+9.472764489E+02,-2.779525605E-01,910.9192636077158,259.9206914213852,10,998,668,4.87
+8.856201908E+02,-2.833734042E-01,850.2996316836626,247.61595003403178,11,998,668,4.87
+8.705057245E+02,-3.014113207E-01,831.2619893838398,258.42546583665245,12,998,668,4.87
+8.552498182E+02,-3.179948027E-01,812.3712504992914,267.4045678243935,13,998,668,4.87
+8.399663098E+02,-3.331623470E-01,793.7789801179609,274.6968007129304,14,998,668,4.87
+8.247854999E+02,-3.469536035E-01,775.6389691826517,280.4555407378616,15,998,668,4.87
+8.098071940E+02,-3.594339190E-01,758.0573475236549,284.8451321675593,16,998,668,4.87
+7.951071997E+02,-3.706891692E-01,741.101856923464,288.03384641282906,17,998,668,4.87
+7.807250682E+02,-3.807415798E-01,724.8168098009959,290.124498010426,18,998,668,4.87
+7.667335228E+02,-3.896638012E-01,709.2567446812054,291.2647680539434,19,998,668,4.87
+7.531569434E+02,-3.975629203E-01,694.4162008745305,291.601648408603,20,998,668,4.87
+7.400117740E+02,-4.044618156E-01,680.3034199188974,291.2124353548099,21,998,668,4.87
+7.273249890E+02,-4.104423218E-01,666.9165898338778,290.2135452183466,22,998,668,4.87
+7.151109073E+02,-4.155951225E-01,654.2379573552417,288.7149197652767,23,998,668,4.87
+7.033545072E+02,-4.199462030E-01,642.2406497015937,286.76560231211397,24,998,668,4.87
+6.920655780E+02,-4.235814590E-01,630.9026977620604,284.4583452968613,25,998,668,4.87
+6.812163605E+02,-4.265504262E-01,620.178261001428,281.8415412853656,26,998,668,4.87
+6.708351824E+02,-4.289056648E-01,610.07187188922,278.9841448455888,27,998,668,4.87
+6.608908424E+02,-4.306995120E-01,600.534273238015,275.9262441933911,28,998,668,4.87
+6.513698109E+02,-4.319703719E-01,591.5366705208422,272.7031315937135,29,998,668,4.87
+6.422675804E+02,-4.327773570E-01,583.053365249274,269.3629857726692,30,998,668,4.87
+6.335859669E+02,-4.331708979E-01,575.0675409113653,265.9483048315274,31,998,668,4.87
+6.252636791E+02,-4.331622898E-01,567.5161644273043,262.45013148289456,32,998,668,4.87
+6.173110788E+02,-4.327952276E-01,560.3931154076059,258.90640048669616,33,998,668,4.87
+6.097112721E+02,-4.321033296E-01,553.6708329959588,255.33594344580897,34,998,668,4.87
+6.024464502E+02,-4.311188342E-01,547.3218599279905,251.75485497512483,35,998,668,4.87
+5.955018122E+02,-4.298750441E-01,541.3217669002751,248.17967888900247,36,998,668,4.87
+5.888642129E+02,-4.283922185E-01,535.6513874356797,244.61940309911606,37,998,668,4.87
+5.825134297E+02,-4.266937970E-01,530.2847156367025,241.08093276524053,38,998,668,4.87
+5.764455572E+02,-4.248096718E-01,525.2094578346682,237.5805249102553,39,998,668,4.87
+5.706388315E+02,-4.227495877E-01,520.4022522331751,234.1157232787329,40,998,668,4.87
+5.650877067E+02,-4.205386768E-01,515.8511383051189,230.69832980058257,41,998,668,4.87
+5.597745120E+02,-4.181892287E-01,511.53639341688995,227.32800640237647,42,998,668,4.87
+5.546901640E+02,-4.157210605E-01,507.44462802103067,224.01144508918435,43,998,668,4.87
+5.498202338E+02,-4.131455628E-01,503.55969921703627,220.7485420570986,44,998,668,4.87
+5.451616797E+02,-4.104798683E-01,499.8747921770484,217.54642989320268,45,998,668,4.87
+5.406967237E+02,-4.077234889E-01,496.37358780625584,214.39731422818565,46,998,668,4.87
+5.364201350E+02,-4.049081655E-01,493.04443999035607,211.31431903213362,47,998,668,4.87
+5.323205416E+02,-4.020270652E-01,489.87847888652107,208.28882575199668,48,998,668,4.87
+5.283881894E+02,-3.990981944E-01,486.86311220196194,205.3250804807588,49,998,668,4.87
+5.246137311E+02,-3.961197570E-01,483.9903162182953,202.4177380210975,50,998,668,4.87
+5.209957161E+02,-3.931129867E-01,481.2547145014425,199.57563970757263,51,998,668,4.87
+5.175187513E+02,-3.900734857E-01,478.64332177901815,196.78980782413117,52,998,668,4.87
+5.141831739E+02,-3.870151117E-01,476.1540618549746,194.0660859111831,53,998,668,4.87
+5.109773216E+02,-3.839378212E-01,473.7765480543865,191.39907445747846,54,998,668,4.87
+5.078931264E+02,-3.808520120E-01,471.5017051639753,188.7897504416754,55,998,668,4.87
+5.049351670E+02,-3.777600506E-01,469.3337780304248,186.23997334891843,56,998,668,4.87
+5.020898870E+02,-3.746599808E-01,467.2609698503115,183.74286566345654,57,998,668,4.87
+4.993519732E+02,-3.715681899E-01,465.2757540064315,181.30324286255922,58,998,668,4.87
+4.967156774E+02,-3.684735231E-01,463.3752552445772,178.9129313436115,59,998,668,4.87
+4.941817196E+02,-3.653900613E-01,461.55804553407495,176.57786551427628,60,998,668,4.87
+4.917395244E+02,-3.623232127E-01,459.8137738083962,174.29587853193553,61,998,668,4.87
+4.893858923E+02,-3.592619452E-01,458.1418165997343,172.05995311217163,62,998,668,4.87
+4.871186004E+02,-3.562206056E-01,456.53803493567784,169.875111516445,63,998,668,4.87
+4.849354091E+02,-3.532003805E-01,455.0005890239937,167.74032009866656,64,998,668,4.87
+4.828263782E+02,-3.501955848E-01,453.52153500891086,165.64881155290772,65,998,668,4.87
+4.807956214E+02,-3.472101683E-01,452.1044711424393,163.6031073373222,66,998,668,4.87
+4.788328400E+02,-3.442501776E-01,450.7391309343372,161.60174660882853,67,998,668,4.87
+4.769396143E+02,-3.413143279E-01,449.4276101872928,159.64403806585307,68,998,668,4.87
+4.751110185E+02,-3.384050978E-01,448.16526126103764,157.72881315388514,69,998,668,4.87
+4.733405595E+02,-3.355176547E-01,446.94708715649597,155.85116794588558,70,998,668,4.87
+4.716326386E+02,-3.326582892E-01,445.77660630960025,154.01481441697058,71,998,668,4.87
+4.699819774E+02,-3.298287711E-01,444.64892199717025,152.21824873374584,72,998,668,4.87
+4.683863289E+02,-3.270257274E-01,443.56276678653137,150.4587153377835,73,998,668,4.87
+4.668394097E+02,-3.242496085E-01,442.5124389587805,148.73390943492345,74,998,668,4.87
+4.653445010E+02,-3.215082614E-01,441.5001975697721,147.04788389089842,75,998,668,4.87
+4.639016047E+02,-3.187927566E-01,440.52768328441044,145.3962141986689,76,998,668,4.87
+4.625000792E+02,-3.161021895E-01,439.58520058742005,143.77473590490087,77,998,668,4.87
+4.611460050E+02,-3.134493334E-01,438.67696917861065,142.19055749144647,78,998,668,4.87
+4.598331565E+02,-3.108188915E-01,437.7995337791624,140.63463314383657,79,998,668,4.87
+4.585582686E+02,-3.082229100E-01,436.9483353185622,139.11088369989992,80,998,668,4.87
+4.573261302E+02,-3.056602073E-01,436.12837302593476,137.61988085105455,81,998,668,4.87
+4.561303038E+02,-3.031279481E-01,435.3341579432885,136.15808816404632,82,998,668,4.87
+4.549713980E+02,-3.006174408E-01,434.5676782544928,134.7215870399916,83,998,668,4.87
+4.538483048E+02,-2.981444520E-01,433.8259681368761,133.31658989014028,84,998,668,4.87
+4.527577521E+02,-2.956972945E-01,433.10769368714585,131.9367566512323,85,998,668,4.87
+4.516986486E+02,-2.932878659E-01,432.410450186301,130.5866444807692,86,998,668,4.87
+4.506684511E+02,-2.909013289E-01,431.7339538162522,129.25883311812507,87,998,668,4.87
+4.496696842E+02,-2.885451373E-01,431.0798369361261,127.95702042346345,88,998,668,4.87
+4.486985963E+02,-2.862198193E-01,430.4446299044255,126.68011251981336,89,998,668,4.87
+4.477563995E+02,-2.839219891E-01,429.83010747418757,125.42675951300002,90,998,668,4.87
+4.468430797E+02,-2.816536431E-01,429.2361803169091,124.19758203254378,91,998,668,4.87
+4.459541610E+02,-2.794119817E-01,428.65906608969294,122.98991329505924,92,998,668,4.87
+4.450881281E+02,-2.772028641E-01,428.09674726147637,121.80565159181094,93,998,668,4.87
+4.442469209E+02,-2.750179761E-01,427.5522620469576,120.641576364289,94,998,668,4.87
+4.434287430E+02,-2.728621261E-01,427.0234452166476,119.49906842258136,95,998,668,4.87
+4.426320504E+02,-2.707316049E-01,426.5093977000602,118.37595074524216,96,998,668,4.87
+4.418602055E+02,-2.686338246E-01,426.01262357097585,117.27610908738514,97,998,668,4.87
+4.411055848E+02,-2.665563301E-01,425.5273742356899,116.19204240320894,98,998,668,4.87
+4.403723839E+02,-2.645105958E-01,425.0564811077668,115.12959814944053,99,998,668,4.87
+4.396541062E+02,-2.624850018E-01,424.59513940238236,114.08199110461031,100,998,668,4.87
+4.389580894E+02,-2.604909662E-01,424.1492429412531,113.05584444008319,101,998,668,4.87
+4.382809163E+02,-2.585178545E-01,423.7168183614772,112.04561316889914,102,998,668,4.87
+4.376194660E+02,-2.565768042E-01,423.29370888698116,111.05509010769735,103,998,668,4.87
+4.369732892E+02,-2.546547257E-01,422.8810456390336,110.07850250391512,104,998,668,4.87
+4.363462986E+02,-2.527590684E-01,422.48188813377135,109.11987216288279,105,998,668,4.87
+4.357327243E+02,-2.508904826E-01,422.09068593801584,108.17790842068948,106,998,668,4.87
+4.351356847E+02,-2.490390868E-01,421.7116218020251,107.24911252054055,107,998,668,4.87
+4.345538567E+02,-2.472136616E-01,421.34255504581614,106.33675601741645,108,998,668,4.87
+4.339841353E+02,-2.454106583E-01,420.980944409847,105.43848507960463,109,998,668,4.87
+4.334304828E+02,-2.436300583E-01,420.6307182863167,104.55516368969228,110,998,668,4.87
+4.328894451E+02,-2.418756289E-01,420.28821716777765,103.68744470241748,111,998,668,4.87
+4.323612076E+02,-2.401422348E-01,419.9542375934433,102.83312775871448,112,998,668,4.87
+4.318455556E+02,-2.384311385E-01,419.62851605937664,101.99260954244781,113,998,668,4.87
+4.313417977E+02,-2.367388269E-01,419.31081127894424,101.1641734393223,114,998,668,4.87
+4.308513799E+02,-2.350663293E-01,419.00249081074264,100.34851397069929,115,998,668,4.87
+4.303695177E+02,-2.334180772E-01,418.69852642293955,99.54629946205748,116,998,668,4.87
+4.299036173E+02,-2.317861531E-01,418.40697969867375,98.75585808982926,117,998,668,4.87
+4.294420498E+02,-2.301804792E-01,418.1156162032217,97.97859778250503,118,998,668,4.87
+4.289960017E+02,-2.285927979E-01,417.83620323442614,97.21356253746585,119,998,668,4.87
+4.285593795E+02,-2.270243082E-01,417.5627489902688,96.45979687473314,120,998,668,4.87
+4.281342340E+02,-2.254711151E-01,417.2976813595046,95.71607730547709,121,998,668,4.87
+4.277127020E+02,-2.239381674E-01,417.03291219331913,94.98265946845345,122,998,668,4.87
+4.273036534E+02,-2.224257141E-01,416.7771202147671,94.26157368977512,123,998,668,4.87
+4.269032303E+02,-2.209313910E-01,416.5268217538465,93.55092089452798,124,998,668,4.87
+4.265125504E+02,-2.194575767E-01,416.2829363063869,92.85188521966141,125,998,668,4.87
+4.261265974E+02,-2.179925800E-01,416.0416983798725,92.15846255712407,126,998,668,4.87
+4.257551608E+02,-2.165551397E-01,415.8109796882428,91.48052316497528,127,998,668,4.87
+4.253853498E+02,-2.151290236E-01,415.57973221676866,90.80849076549609,128,998,668,4.87
+4.250258089E+02,-2.137268483E-01,415.35529271600785,90.14942619838884,129,998,668,4.87
+4.246725026E+02,-2.123365021E-01,415.1348586770755,89.49739423978511,130,998,668,4.87
+4.243317562E+02,-2.109604347E-01,414.9244279051522,88.85470413747609,131,998,668,4.87
+4.239953825E+02,-2.096021445E-01,414.71572383481146,88.22104502605774,132,998,668,4.87
+4.236658515E+02,-2.082640111E-01,414.51099375969216,87.59788684421831,133,998,668,4.87
+4.233388153E+02,-2.069372227E-01,414.30679392505914,86.98064754384222,134,998,668,4.87
+4.230227975E+02,-2.056271425E-01,414.11102968422665,86.37327305709545,135,998,668,4.87
+4.227116801E+02,-2.043283060E-01,413.9182197348523,85.77220916179823,136,998,668,4.87
+4.224090191E+02,-2.030495055E-01,413.7311236159313,85.181786600911,137,998,668,4.87
+4.221105293E+02,-2.017843212E-01,413.54612951882063,84.59844978443158,138,998,668,4.87
+4.218206211E+02,-2.005349758E-01,413.3674009464252,84.02397407875375,139,998,668,4.87
+4.215340827E+02,-1.992948841E-01,413.19041372975585,83.45456775733497,140,998,668,4.87
+4.212531123E+02,-1.980743297E-01,413.01649008946447,82.89489451477506,141,998,668,4.87
+4.209770954E+02,-1.968685716E-01,412.84545569592905,82.3428476714366,142,998,668,4.87
+4.207066444E+02,-1.956717221E-01,412.6784219162675,81.7960923700342,143,998,668,4.87
+4.204434881E+02,-1.944930724E-01,412.5163494938046,81.25877236335823,144,998,668,4.87
+4.201818685E+02,-1.933269774E-01,412.35407870489377,80.72742032041886,145,998,668,4.87
+4.199261247E+02,-1.921695141E-01,412.19620537329183,80.20123740578444,146,998,668,4.87
+4.196783016E+02,-1.910283221E-01,412.0441468825369,79.68373644416374,147,998,668,4.87
+4.194297058E+02,-1.898993511E-01,411.8897180477662,79.1715749117459,148,998,668,4.87
+4.191896595E+02,-1.887836168E-01,411.7420146446319,78.66691813021319,149,998,668,4.87
+4.189543191E+02,-1.876789044E-01,411.5974598935209,78.16810412019781,150,998,668,4.87
+4.187230784E+02,-1.865816792E-01,411.4557528240979,77.67354667277287,151,998,668,4.87
+4.184940095E+02,-1.855044777E-01,411.31404530973316,77.18803092662026,152,998,668,4.87
+4.182723701E+02,-1.844327366E-01,411.178654162484,76.70651830320381,153,998,668,4.87
+4.180536774E+02,-1.833757536E-01,411.0444759073646,76.23198812639782,154,998,668,4.87
+4.178378136E+02,-1.823294143E-01,410.9117297673851,75.76271387433157,155,998,668,4.87
+4.176241376E+02,-1.812920837E-01,410.7799254713425,75.29789595932941,156,998,668,4.87
+4.174167420E+02,-1.802711599E-01,410.6525500198031,74.8412965155447,157,998,668,4.87
+4.172130075E+02,-1.792557981E-01,410.5278593255049,74.38797177510298,158,998,668,4.87
+4.170118681E+02,-1.782545401E-01,410.40418280180324,73.94122581507493,159,998,668,4.87
+4.168163879E+02,-1.772637737E-01,410.28482284111135,73.50010454578376,160,998,668,4.87
