X,Y,Z,Ω,Θ,KHz
74,66,0,576.898,-0.2233,17
88,46,0,570.68,-0.2305,18
97,23,0,564.279,-0.2343,19
99,0,0,558.716,-0.2378,20
97,-23,0,550.978,-0.2406,21
88,-46,0,545.985,-0.2433,22
74,-66,0,539.083,-0.2449,23
57,-82,0,534.934,-0.2458,24
35,-93,0,528.706,-0.247,25
12,-99,0,524.033,-0.2476,26
-11,-99,0,518.131,-0.2475,27
-34,-93,0,514.552,-0.2479,28
-56,-82,0,509.833,-0.2471,29
-74,-67,0,505.487,-0.2476,30
-88,-47,0,501.161,-0.2454,31
-96,-25,0,497.751,-0.2436,32
-99,-1,0,493.643,-0.2424,33
-97,22,0,490.209,-0.2423,34
-89,45,0,486.953,-0.2401,35
-75,65,0,484.416,-0.2378,36
-57,81,0,481.157,-0.2364,37
-35,93,0,477.753,-0.2342,38
-12,99,0,475.466,-0.2329,39
11,99,0,472.556,-0.2298,40
34,93,0,470.222,-0.2283,41
55,82,0,467.664,-0.2262,42
74,66,0,465.399,-0.2234,43
88,47,0,463.601,-0.2211,44
96,24,0,461.23,-0.2198,45
99,0,0,459.531,-0.2172,46
97,-23,0,457.044,-0.2154,47
88,-46,0,455.443,-0.2127,48
75,-65,0,453.945,-0.2104,49
57,-81,0,452.298,-0.2083,50
36,-93,0,450.943,-0.2058,51
13,-99,0,449.025,-0.2037,52
-10,-99,0,447.809,-0.2018,53
-34,-94,0,445.974,-0.1994,54
-55,-83,0,445.15,-0.1969,55
