X,Y,Z,Impedance,Phase shift,Measured Freq,AC Freq,GF,SystemPS
-99,7,0,553.966,-0.01,33,,,
-97,24,0,553.966,-0.01,33,,,
99,-8,0,553.83,-0.01,34,,,
90,-42,0,553.647,-0.01,34,,,
70,-70,0,553.605,-0.01,34,,,
57,-81,0,553.315,-0.01,34,,,
26,-96,0,553.544,-0.01,34,,,
-8,-99,0,553.488,-0.01,34,,,
-42,-90,0,554.369,-0.01,34,,,
-70,-70,0,553.9,-0.01,34,,,
-90,-42,0,553.666,-0.01,34,,,
-99,-8,0,553.886,-0.01,34,,,
-96,25,0,554.078,-0.01,34,,,
96,-27,0,554.063,-0.01,35,,,
80,-58,0,553.831,-0.01,35,,,
56,-82,0,554.47,-0.01,35,,,
40,-91,0,553.772,-0.01,35,,,
7,-99,0,553.309,-0.01,35,,,
-27,-96,0,553.772,-0.01,35,,,
-58,-80,0,554.414,-0.01,35,,,
-82,-55,0,553.889,-0.01,35,,,
-97,-24,0,553.54,-0.01,35,,,
-99,10,0,554.471,-0.01,35,,,
99,-12,0,554.119,-0.01,36,,,
89,-45,0,554.593,-0.01,36,,,
68,-73,0,554.54,-0.01,36,,,
39,-91,0,554.298,-0.01,36,,,
22,-97,0,553.951,-0.01,36,,,
-12,-99,0,554.302,-0.01,36,,,
-45,-89,0,553.948,-0.01,36,,,
-73,-68,0,554.481,-0.01,36,,,
-92,-38,0,554.414,-0.01,36,,,
-99,-5,0,553.601,-0.01,36,,,
-95,29,0,554.063,-0.01,36,,,
95,-30,0,553.705,-0.01,37,,,
78,-61,0,554.24,-0.01,37,,,
53,-84,0,553.576,-0.01,37,,,
20,-97,0,554.511,-0.01,37,,,
3,-99,0,554.246,-0.01,37,,,
-31,-95,0,554.348,-0.01,37,,,
-61,-78,0,553.684,-0.01,37,,,
-84,-52,0,553.103,-0.01,37,,,
-97,-20,0,554.036,-0.01,37,,,
-99,13,0,553.996,-0.01,37,,,
98,-15,0,554.017,-0.01,38,,,
87,-48,0,554.194,-0.01,38,,,
65,-75,0,553.914,-0.01,38,,,
35,-93,0,553.759,-0.01,38,,,
-15,-98,0,553.686,-0.01,38,,,
-48,-87,0,553.891,-0.01,38,,,
-75,-65,0,554.101,-0.01,38,,,
-93,-35,0,554.411,-0.01,38,,,
-99,-1,0,553.789,-0.01,38,,,
-94,32,0,552.918,-0.01,38,,,
94,-34,0,554.252,-0.01,39,,,
76,-64,0,554.381,-0.01,39,,,
50,-86,0,554.573,-0.01,39,,,
17,-98,0,553.558,-0.01,39,,,
0,-99,0,552.83,-0.01,39,,,
